0,-0.9292176423643365
1,-1.0349479507492447
2,-1.0231765225401757
3,-1.0295628778135628
4,-1.0169897892830686
5,-1.0767454520280693
6,-1.2686700951969052
7,-1.1782732452503217
8,-0.9685097506312491
9,-1.1616834380004306
10,-1.1662959379051154
11,-1.2491129503482719
12,-1.2238294198045008
13,-1.0936856086232616
14,-0.9082480241880082
15,-1.3518061277658484
16,-1.368508514259427
17,-1.0645105829674084
18,-0.957510484442636
19,-1.2772552145002196
20,-1.1674058965141676
21,-1.1663701715909804
22,-1.2169163751703875
23,-0.9937591779600278
24,-1.116627509956592
25,-1.2140263905579194
26,-1.107126180205586
27,-1.0635348632453645
28,-0.9486756311158882
29,-1.0333467536921788
30,-1.1398277950320754
31,-1.3271270617268216
32,-1.2823308292970237
33,-1.3379301690508747
34,-1.1170809311266345
35,-1.0347697488096061
36,-1.0969440644043773
37,-1.2248405801011497
38,-1.072870138763823
39,-1.3816851702165263
40,-1.074154492994858
41,-1.0092545466095757
42,-1.4184299069688169
43,-1.0709363672286778
44,-0.8826071356849293
45,-1.0568500978953437
46,-0.9276384468720915
47,-0.9187924170429371
48,-1.368597444909158
49,-0.9709998835030724
